CustomerID,Lookalikes
C0001,"[('C0056', 0.9958000025797457), ('C0190', 0.9880159504200208), ('C0191', 0.9859489949334305)]"
C0002,"[('C0031', 0.9982716805506013), ('C0029', 0.9894773212214641), ('C0083', 0.9862861380990324)]"
C0003,"[('C0112', 0.9983440085944362), ('C0144', 0.9979107352927284), ('C0130', 0.9878422139370372)]"
C0004,"[('C0101', 0.9977071256667731), ('C0075', 0.9833131452821743), ('C0068', 0.9811311789677889)]"
C0005,"[('C0123', 0.9980016654890479), ('C0036', 0.9849029085279511), ('C0186', 0.949749509986324)]"
C0006,"[('C0168', 0.9853718799727548), ('C0066', 0.9655779677244783), ('C0026', 0.9570860100917089)]"
C0007,"[('C0120', 0.9829714462334519), ('C0135', 0.9561520025481097), ('C0074', 0.9403508799505246)]"
C0008,"[('C0084', 0.9936129084535903), ('C0194', 0.9638290743199941), ('C0017', 0.9505831205929576)]"
C0009,"[('C0077', 0.9916085528251227), ('C0199', 0.9873014767508428), ('C0043', 0.9846936074293561)]"
C0010,"[('C0083', 0.9973411890326556), ('C0032', 0.9955565345264731), ('C0002', 0.9841926904777211)]"
C0011,"[('C0048', 0.9710447580744193), ('C0137', 0.9252890933392095), ('C0064', 0.9210040511760759)]"
C0012,"[('C0122', 0.9976812152238923), ('C0136', 0.9937061231717271), ('C0068', 0.9848573609575324)]"
C0013,"[('C0141', 0.9963689270329231), ('C0059', 0.9921715602743276), ('C0104', 0.9842175218101573)]"
C0014,"[('C0058', 0.99829419303202), ('C0062', 0.9806937543393525), ('C0128', 0.976664583816626)]"
C0015,"[('C0035', 0.9928206045333456), ('C0027', 0.9904541988677291), ('C0095', 0.9883824228436061)]"
C0016,"[('C0183', 0.9966465170475411), ('C0064', 0.98477637681908), ('C0107', 0.984678773270264)]"
C0017,"[('C0113', 0.9991553757111633), ('C0162', 0.9926055372176205), ('C0084', 0.9757734994865737)]"
C0018,"[('C0149', 0.9985116572931967), ('C0182', 0.9501577343438542), ('C0079', 0.9429270393729702)]"
C0019,"[('C0172', 0.9940172548057877), ('C0116', 0.988646938986943), ('C0034', 0.9543143737515545)]"
C0020,"[('C0110', 0.999039472247473), ('C0125', 0.9941832615958845), ('C0176', 0.9936112191200798)]"
